1.5	Nils, Wheezy, Offset, 21 Savage	21 Savage, Offset	English 	2018	motown	Rap	braggadocious	upbeat	flute	5	3	4	7	8	7	8
100 Bad Days	AJR	AJR	English	2019	pop	alternative	bad days	uplifting	drums	8	6	8	8	6	5	5
2:00 AM	Cassanova/ Tory Lanez/ Davaido	Cassanova/ Tory Lanez/ Davaido	English	2019	hip hop 	R&B	Relationships	relaxed 	synthesizer	5	5	4	4	5	7	4
4 your eyez only	J.cole	J.cole	English	2016	hip-hop	rap	hardship	sad	synthesizer	5	10	8	8	7	0	7
6 inch	Beyonce/The Weekend	Beyonce/The Weekend	English	2019	Pop	null	Encouraging 	UpBeat	Trumpet 	5	6	9	9	7	7	4
abusadora	oro solido	oro solido	spanish	1997	Latin	Merengue	love	excitment	tambora	8	7	7	7	8	8	8
Act Up	JT, EarlThePearll, Lil Yachty	City Girls	English	2018	Rap	Trap 	Scamming	Diva	Synthesizer	4	10	10	8	6	10	6
Adentro	 Rene Perez (Calle 13)	Rene Perez (Calle 13)	Spanish	2014	latin	rap	fighting back	uplifting	trumpet	9	9	5	7	6	4	8
Adults Swim	CHASETHEMONEY, Ski Mask the Slump God	Ski Mask the Slump God	English	2018	hip-hop	Trap	braggadocious	upbeat	synthesizer	5	7	4	4	8	6	7
Affection	Between friends	Between Friends	English	2019	Pop		Looking for love	Lonley	Guitar	7	10	8	8	6	5	5
All Into Nothing	R3HAB, Mokita	R3HAB, Mokita	English	2018	Pop	null	Missing someone	Happy, Sad	Synthesizer	7	8	7	7	7	8	7
Almost is Never Enough	Ariana Grande, Nathan Sykes	Ariana Grande, Nathan Sykes	English	2013	Pop	null	Regret	Sad	Piano	5	8	8	6	6	3	3
Almost Love	Sabrina Carpenter	Sabrina Carpenter	English	2018	Pop	null	Excitement	Upbeat	Synthesizer	8	7	7	6	8	6	8
Alone	Lund	Lund	English	2016	Hip-Hop	Rap	Feeling Alone	Sad	drums	4	8	10	8	4	3	5
August	Azerrz	Azerrz	English	2018	Soul	R&B	Exes	sad	vocals	5	10	10	9	10	0	4
Back In Black	AC/DC	Brian Johnson 	English	1980	rock	heavy metel	back	exciting	Guitar	8	9	8	8	7	9	8
Beasty	A boogie wit da hoodie	A boogie wit da hoodie	English	2018	hip hop	rap	moved on	happy	synthesizer	6	8	7	8	8	7	7
Beat It	Michael Jackson	Michael Jackson	English	1982	pop	rock	smart choices	uplifting	guitar	4	6	9	9	9	7	5
Beautiful	Bazzi	Bazzi	English	2018	Pop	null	Love	Chill	Synthesizer	5	10	10	7	7	3	3
beautiful pain	alec benjamin	alec benjamin	English	2018	pop	null	hurt	sad	guitar 	8	7	9	9	8	1	2
Beneath The Mask	Rike Schlmalz	Lyn	English	2017	blues	Jazz	Identity	relaxed	drum	6	7	7	8	6	4	4
Best Part	Daniel Caesar	Daniel Caesar, H.E.R	English	2017	R&B	null	Love	Chill	Guitar	7	8	8	8	8	2	3
Bet My Heart	Maroon 5	Adam Levine (Maroon 5)	English	2017	pop	null	questioning love	sad	guitar	7	7	7	9	7	6	8
better off	Ariana Grande	Ariana Grande	English	2018	Pop	null	Heartbroken	Sad	Synthesizer	4	10	4	5	5	1	2
Billie Jean	Michael Jackson	Michael Jackson	English	1982	pop	soul	paternity	angry	synthesizer	4	8	9	9	10	10	4
Bleach	Dom McLennon, ​bearface, Ryan Beatty, Joba, Ameer Vann, Merlyn Wood, Matt Champion & Kevin Abstract	BROCKHAMPTON	English	2017	Hip Hop, R&B	Altpop	Depression	Helplessness	Synthesizer	6	10	10	9	9	3	5
Blem	Drake 	Drake 	English	2017	hip-hop 	rap	honesty	danceable	synthesizer	9	8	8	9	9	9	7
BLUE 	BIGBANG	BIGBANG	Korean	2012	kpop	Rap	Love	sad	sythesizer	5	6	7	7	7	4	6
blue bird 	yoshiki mizumo, ikimono gakari and the band	ikimono gakari	Japanese	2008	pop	jpop	someone special	sad	Null	8	8	8	8	7	8	7
Body Ain't Me 	Pink sweats	Pink sweats	English	2019	pop	null	love	sad	guitar	7	9	9	8	7	6	6
Bon Bon Chocolate	JQ, Tomboy, Yunsu, jiwon Lee	Everglow	Korean	2019	Pop	KPop	Possiblities	Bad Girl	Synthesizer	6	8	10	7	8	10	5
Break In To Break Out	Benjamin franklin	Lyn	Englsih	2018	Pop	Jazz	Breaking out	Uplifting	Guitar	8	8	9	6	7	6	7
Broken	Lund	Lund	English	2016	Hip-Hop	Rap	Depression	Sad	Guitar 	6	6	9	9	4	2	5
Build God, Then We'll Talk	Panic! at the Disco	Panic! at the Disco	English	2005	pop	punk	illusions	deluded	guitar	7	7	6	4	8	7	8
Buiness is Buiness	Taz Taylor, SIDEPCE, Lil Baby, Gunna, Turbo	Lil Baby, Gunna	English	2018	hip-hop		hardwork	inspiring	synthesizer	5	3	5	4	8	4	5
Care of Cell 44	The Zombies	The Zombies	English	1967	pop	psychedelic	return	happy	guitar	7	8	8	6	6	7	6
Changes 	DeJ Loaf	Dej Loaf	English	2018	hip-hop	rap	Old Friends 	uplifting	synthesizer	10	10	9	8	10	10	10
Chemicals	Col3trane	Col3trane	English	2018	R&B 	Soul	chill	chill		4	6	8	8	6	3	5
Chi Chi 	Trey Songz, Chris Brown	Trey Songz, Chris Brown	English	2019	hip-hop	rap 	moving on	confidence	synthesizer	6	6	7	7	7	6	7
Code Red	Ben Goldberg (Token)	Ben Goldberg (Token)	English	2018	hip-hop	rap	going far in life	hype	synthesizer	7	9	6	7	7	6	7
Come closer	A Boogie wit da Hoodie, Queen Naija	A Boodie and Queen Naija	English	2018	hip-hop	rap	heartbreak destraction	sad	synthesizer	7	7	7	7	4	0	7
Confuession of a dangerous mind	Logic	Logic	English	2019	hip-hop	rap	self esteem	calm	synthesizer	7	9	6	8	8	0	8
Congratulations	Pewdipie, Boyinaband, Roomie	Pewdiepie, Boyinaband, Roomie	English	2019	pop	synthpop	beef	sarcastoc	synthesizer	6	8	4	6	7	8	9
D0 to 100	Drake	Drake	Englsih	2014	Hip Hop	Rap	going fast	Hype	Drums	3	7	6	8	8	6	4
Daylily	Patrick Miranda	Movements	English	2017	Rock	Indie	Depression	nostalgic	Drums	7	8	7	5	8	3	6
DDU-DU DDU-DU	BlackPink	BlackPink	Korean	2018	Kpop	Rap			sythesizer	4	6	7	7	7	7	5
Deaf to the Hate	Braydbunch	Braydbunch	English	2018	hip hop	rap	resentment	sad	drum	6	5	8	8	6	9	5
Deja vu	Dave Rodgers	Dave Rodgers	English	2006	Eurobeat	Disco	Racing	Fast	sythesizer	5	8	8	8	8	8	10
Demons	jacob lee	jacob lee	English	2017	pop	rhythm and blues	inside demons	sad	guitar 	7	8	9	8	7	3	5
Demons and Angles	Richie Souf, A Boogie wit da Hoodie, Juice wrld	A Boogie wit da Hoodie, Juice wrld	English	2018	hip-hop	R&B	lifestyle	mellow	synthesizer	5	5	6	7	7	3	4
Diamonds 	Issac D,  Jamel P, James S, Joshua C, Micheal M, Rakim M	ASAP Twelvyy	english	2017	hip-hop	rap	fame	gangsta	synthesizer	10	8	6	9	10	0	8
Die For You	The Weeknd	The Weeknd	English	2016	R&B	Alternative	Love	Chill	Bass	5	6	7	9	9	1	3
Don't Run Away	Tyler James Williams 	Tyler James Williams 	English	2012	hip-hop	rap	pursuing love	sad	synthesizer	6	7	8	7	8	9	8
Donald Trump	Mac Miller	Mac Miller	English	2011	Hip Hop	Rap	inspirational	Uplifting	synthesizer	6	7	6	4	8	3	4
Drain You	Nirvana	Nirvana	English	1991	rock	grunge	love	intense	guitar	8	5	4	1	7	1	7
